"","planning_unit_name","LTWPShortName","env_obj","Specific_goal","Objective","Target","state"
"1","Mungindi to Boomi River Confluence","Barwon-Darling","NF1","All recorded fish species","No loss of native fish species","Native fish","NSW"
"2","Mungindi to Boomi River Confluence","Barwon-Darling","EF1","Refugia","Provide & protect a diversity of refugia across the landscape","Priority ecosystem function","NSW"
"3","Mungindi to Boomi River Confluence","Barwon-Darling","EF2","Habitat","Create quality instream, floodplain & wetland habitat","Priority ecosystem function","NSW"
"4","Mungindi to Boomi River Confluence","Barwon-Darling","NF2","Australian smelt","Increase the distribution & abundance of short to moderate-lived generalist native fish species","Native fish","NSW"
"5","Mungindi to Boomi River Confluence","Barwon-Darling","NF2","carp gudgeon (species complex)","Increase the distribution & abundance of short to moderate-lived generalist native fish species","Native fish","NSW"
"6","Mungindi to Boomi River Confluence","Barwon-Darling","NF2","flat-headed gudgeon","Increase the distribution & abundance of short to moderate-lived generalist native fish species","Native fish","NSW"
"7","Mungindi to Boomi River Confluence","Barwon-Darling","NF2","dwarf flat-headed gudgeon","Increase the distribution & abundance of short to moderate-lived generalist native fish species","Native fish","NSW"
"8","Mungindi to Boomi River Confluence","Barwon-Darling","NF2","bony herring","Increase the distribution & abundance of short to moderate-lived generalist native fish species","Native fish","NSW"
"9","Mungindi to Boomi River Confluence","Barwon-Darling","NF2","Murray-Darling rainbowfish","Increase the distribution & abundance of short to moderate-lived generalist native fish species","Native fish","NSW"
"10","Mungindi to Boomi River Confluence","Barwon-Darling","NF2","unspecked hardyhead","Increase the distribution & abundance of short to moderate-lived generalist native fish species","Native fish","NSW"
"11","Mungindi to Boomi River Confluence","Barwon-Darling","NF2","mountain galaxias (species complex)","Increase the distribution & abundance of short to moderate-lived generalist native fish species","Native fish","NSW"
"12","Mungindi to Boomi River Confluence","Barwon-Darling","NF2","climbing galaxias","Increase the distribution & abundance of short to moderate-lived generalist native fish species","Native fish","NSW"
"13","Mungindi to Boomi River Confluence","Barwon-Darling","NF2","Stocky galaxias","Increase the distribution & abundance of short to moderate-lived generalist native fish species","Native fish","NSW"
"14","Mungindi to Boomi River Confluence","Barwon-Darling","NF3","southern pygmy perch1","Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species","Native fish","NSW"
"15","Mungindi to Boomi River Confluence","Barwon-Darling","NF3","Murray hardyhead","Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species","Native fish","NSW"
