PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelChange,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,EcoObj
PU_0000086,Belubula River,Lachlan,Belubula River at Helenshome,412033,CF1_a,7,6,,,,1,3.0,3.0,0.0,0.0,0.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Lachlan,Lachlan,-33.583482,148.482441,NF1+EF1+EF2+NV1
PU_0000086,Belubula River,Lachlan,Belubula River at Helenshome,412033,CF1_b,7,6,5.0,,,1,100.0,100.0,0.0,0.0,0.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Lachlan,Lachlan,-33.583482,148.482441,NF1+EF1+EF2+NV1
PU_0000086,Belubula River,Lachlan,Belubula River at Helenshome,412033,CF1_c,7,6,94.0,,,1,1.0,1.0,0.0,0.0,0.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Lachlan,Lachlan,-33.583482,148.482441,NF1+EF1+EF2+NV1
PU_0000086,Belubula River,Lachlan,Belubula River at Helenshome,412033,VF_a,7,6,50.0,,,1,265.0,1.0,10.0,,1.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Lachlan,Lachlan,-33.583482,148.482441,NF1+EF1+EF2
PU_0000086,Belubula River,Lachlan,Belubula River at Helenshome,412033,VF_b,7,6,100.0,,,1,50.0,1.0,10.0,,1.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Lachlan,Lachlan,-33.583482,148.482441,NF1+EF1+EF2
PU_0000086,Belubula River,Lachlan,Belubula River at Helenshome,412033,BF1_a,7,6,50.0,,,1,224.0,1.0,30.0,,1.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Lachlan,Lachlan,-33.583482,148.482441,NF1+NF2+NF3+NF5+NV1+EF1+EF2+EF3a+OS4
PU_0000086,Belubula River,Lachlan,Belubula River at Helenshome,412033,BF1_b,7,6,100.0,,,1,24.0,1.0,30.0,,1.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Lachlan,Lachlan,-33.583482,148.482441,NF1+NF2+NF3+NF5+NV1+EF1+EF2+EF3a+OS4
PU_0000086,Belubula River,Lachlan,Belubula River at Helenshome,412033,BF2_a,9,3,50.0,50.0,100.0,1,139.0,1.0,30.0,,2.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Lachlan,Lachlan,-33.583482,148.482441,NF1+NF2+NF5+EF1+EF2+EF3a
PU_0000086,Belubula River,Lachlan,Belubula River at Helenshome,412033,BF2_b,9,3,100.0,50.0,100.0,1,14.0,1.0,30.0,,2.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Lachlan,Lachlan,-33.583482,148.482441,NF1+NF2+NF5+EF1+EF2+EF3a
PU_0000086,Belubula River,Lachlan,Belubula River at Helenshome,412033,SF1_S,7,6,100.0,,,1,10.0,10.0,70.0,,1.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Lachlan,Lachlan,-33.583482,148.482441,NF1+NF2+NF3+NF5+NV1+EF1+EF2+EF3a+EF5+OS4
